No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES
76.0,GRANEODIN FRAMBUESA CAJA X 24 BLISTER X 12,28.0,,,,,,,,2.0,,,,26.0,18.0,3.0,,2026-01-01,1.0,,2025-01-01,3.0,12.0,5.0,2.0,22.0,5.5,22.0,44.0
77.0,GRANEODIN MIEL LIMON CAJA X 24 PASTILLAS ,32.0,,6.0,,,,,,,,,,26.0,-2.0,3.0,,2026-02-01,0.0,2.0,2025-03-01,,,6.0,6.0,12.0,3.0,12.0,24.0
78.0,HEMOBEX 10 ML HIGADO CRUDO + COMPLEJO B,4.0,,,,,,,,,,,,4.0,12.0,10.0,,2026-10-01,10.0,10.0,2025-03-01,2.0,1.0,2.0,3.0,8.0,2.0,8.0,16.0
79.0,HIDRAVIDA COCO,6.0,,,,,,,,,,2.0,,4.0,6.0,19.0,,2026-07-01,43.0,,2025-02-01,1.0,1.0,1.0,2.0,5.0,1.25,5.0,10.0
80.0,HIDRAVIDA FRESA,4.0,,,,,,,,,,,,4.0,8.0,19.0,,2026-07-01,31.0,,2025-02-01,2.0,1.0,1.0,2.0,6.0,1.5,6.0,12.0
81.0,HIDRAVIDA JAMAICA,4.0,,,,,,,,,,,,4.0,6.0,19.0,,2026-01-01,15.0,,2024-09-01,1.0,1.0,1.0,2.0,5.0,1.25,5.0,10.0
82.0,HIDRAVIDA LIMA LIMON,3.0,,,,,,,,,,,,3.0,9.0,19.0,,2026-01-01,18.0,,2024-10-01,1.0,3.0,1.0,1.0,6.0,1.5,6.0,12.0
83.0,HIDRAVIDA MARACUYA,4.0,,,,,,,,,,,,4.0,8.0,19.0,,2026-01-01,18.0,,2024-10-01,1.0,2.0,2.0,1.0,6.0,1.5,6.0,12.0
84.0,HIDRAVIDA MORA -AZUL ,4.0,1.0,,,,,,,,,,,3.0,11.0,19.0,,2026-06-01,36.0,,2025-02-01,2.0,2.0,2.0,1.0,7.0,1.75,7.0,14.0
85.0,HIDRAVIDA NARANJA-MANDARINA,4.0,,,,,,,,,,,,4.0,4.0,19.0,,2026-04-01,14.0,,2024-10-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
86.0,HIDRAVIDA UVA,4.0,,,,,,,,,,,,4.0,6.0,19.0,,2026-07-01,43.0,,2025-02-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
87.0,HIERRO KIDS 240 ML,1.0,,,,,,1.0,,,,,,0.0,6.0,28.0,,,0.0,,2023-06-01,,1.0,1.0,1.0,3.0,0.75,3.0,6.0
