No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES,2 MESES.1
49,PREGABALINA 75 MG CAJA X 100  BLIST X 10 CAPS,81.0,,,,,20.0,,5.0,10.0,,70.0,,-24.0,328.0,2.0,,2027-10-01,5.0,2.0,2025-03-01,23.0,20.0,57.0,52.0,152.0,38.0,152.0,304.0,
50,PROTECTOR LABIAL JALOMA BOTE CON 60 ,27.0,,,1.0,,,,,,,,,26.0,-12.0,4.0,,2026-05-01,0.0,,2024-11-01,1.0,3.0,2.0,1.0,7.0,1.75,7.0,14.0,
51,RHELAX FLEB  POMADA 60 GRS,2.0,,,,,,,,,,,,2.0,6.0,27.0,,2026-06-01,2.0,,2024-12-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0,
52,SECNIDAZOL 500 MG 12 BLIST X 4 CAJA X 48,13.0,1.0,2.0,,,,,,,,,,10.0,2.0,10.0,,2027-08-01,1.0,2.0,2025-03-01,3.0,6.0,6.0,7.0,22.0,5.5,22.0,44.0,
53,SUCRALFATO QADIRA  200 ML  SUSP,4.0,,,,,,1.0,,1.0,,,,2.0,4.0,52.0,GENESIS,2027-02-01,3.0,3.0,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0,
54,SUERO EN POLVO NARANJA 1 LT PROMEGAL X 25,23.0,,2.0,,,,,,,,,,21.0,15.0,4.0,OLAM,2027-03-01,0.0,,2025-02-01,6.0,1.0,4.0,7.0,18.0,4.5,18.0,36.0,
55,TRINOGEL FRAMBUESA SUSP 360 ML ,0.0,,,,,,,,,,,,0.0,0.0,30.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,
56,TYLENOL ROJO EXTRA F CJ X 20 TAB 10 SOB,9.0,,,,,,,,,,,,9.0,1.0,5.0,,2027-04-01,0.0,1.0,2025-03-01,4.0,2.0,6.0,5.0,17.0,4.25,17.0,34.0,
57,UNICIL 1.2 MEGAS (UNIPHARM),0.0,,,,,,,,,,,,0.0,4.0,37.0,,2026-01-01,0.0,,2024-03-01,,1.0,1.0,2.0,4.0,1.0,4.0,8.0,
58,UNICIL 4 MEGAS (UNHIPHARM),2.0,,,,,,,,,,,,2.0,6.0,40.0,,2026-04-01,2.0,,2024-10-01,,1.0,2.0,1.0,4.0,1.0,4.0,8.0,
59,VISINA ESTERI J&J GOTAS 15 ML (TETRIZOLIN),0.0,,,,,,,,,,,,0.0,2.0,66.0,,2026-09-01,0.0,,2024-10-01,1.0,,1.0,,2.0,0.5,2.0,4.0,
60,VISTA CLARA 15 ML (ANTIALERGICO),6.0,,,,,,,,,1.0,,,5.0,5.0,40.0,,2027-01-01,0.0,4.0,2025-03-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0,
61,VITAMINA D 2000 BLIST X 15 CAJA X 30 H&V,2.0,,,,,,,,,,,,2.0,6.0,25.0,,2026-09-01,2.0,2.0,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0,
62,ZINC 30 MG CAJA X 30  BLIST X 10 CAPS (FORAL SALUD),4.0,,1.0,,,,,,,,,,3.0,1.0,10.0,,2026-07-01,0.0,,2024-12-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0,
63,ZORRITONE CARAMELO BARRA CAJA X 12 JENGIBRE,13.0,,,,,,,,,,,,13.0,1.0,5.0,,2027-08-01,0.0,,2025-01-01,1.0,3.0,2.0,1.0,7.0,1.75,7.0,14.0,
64,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
