No,ARTICULO,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES
122.0,NAPROLIV  (NAPROXENO  550 MG) CAJA X 50 BLIST X 10,3.0,,,,,,,,,,,,3,5,17.0,,2028-07-01,1.0,,2025-01-01,1.0,1.0,1.0,1.0,4,1.0,4,8
123.0,NAPROXENO 550 MG BLIST X 10 CAJA X 100 CAPLIN/ARGUS,11.0,,,,,,,,,,,,11,3,15.0,,2027-04-01,0.0,1.0,2025-03-01,1.0,2.0,3.0,1.0,7,1.75,7,14
124.0,NASOLIN GOTAS 15 ML  MEDIPROD,2.0,,,,,,,,,,,,2,6,32.0,,2027-09-01,1.0,,2024-07-01,1.0,1.0,1.0,1.0,4,1.0,4,8
125.0,NEUROTROPAS GEL CAPS CAJA X 50 BLIST X 10 CONAMEP,65.0,,,,,,,,,,,,65,55,1.5,,2026-04-01,0.0,1.0,2025-03-01,10.0,30.0,10.0,10.0,60,15.0,60,120
126.0,NISTATINA 30ML GOTAS SELEC,3.0,,,,,,,,,,,,3,7,18.0,,2027-10-01,0.0,2.0,2025-03-01,1.0,1.0,2.0,1.0,5,1.25,5,10
127.0,NISTATINA CREMA SELEC,1.0,,,,,,,,,,,,1,1,19.0,ROSADEL,2027-09-01,0.0,,2024-12-01,,,,1.0,1,0.25,1,2
128.0,NISTATINA SUSPENSION  30 ML CAPLIN ,2.0,,,,,,,,,,,,2,6,15.0,,2027-05-01,0.0,1.0,2025-03-01,1.0,1.0,1.0,1.0,4,1.0,4,8
129.0,NITASEL NITAXOZANIDA 100MG/5ML SUS SELEC ,3.0,,,,,,,,,,,,3,9,45.0,,2027-03-01,3.0,3.0,2025-03-01,1.0,2.0,2.0,1.0,6,1.5,6,12
130.0,NITASEL NITAZOXANIDA 500MG X6TAB SELECT,8.0,,,,,,,,,,,,8,8,32.0,,2026-08-01,12.0,6.0,2025-03-01,1.0,2.0,1.0,4.0,8,2.0,8,16
131.0,OMEPRAZOL 20 MG BLISTER X 10 ARGUS CAJA X 100,6.0,,,,,,,,,,,,6,10,5.0,,2027-04-01,1.0,1.0,2025-03-01,4.0,2.0,1.0,1.0,8,2.0,8,16
132.0,PENETRACINA 3 CREMA 15 GR MEDIPROD,2.0,,,,,,,,,,,,2,6,49.0,,2025-09-01,0.0,,2024-01-01,1.0,1.0,1.0,1.0,4,1.0,4,8
133.0,PODOFILINA 25% X 5 ML F QUIMICA,1.0,,,,,,,,1.0,,,,0,8,52.0,,2026-01-01,0.0,,2025-01-01,1.0,1.0,1.0,1.0,4,1.0,4,8
134.0,PREDNISONA 50MG BLISTER X 10 SELEC CAJA X 100,22.0,,1.0,,,,,,,,,,21,5,4.2,,2027-04-01,0.0,,2024-10-01,1.0,1.0,10.0,1.0,13,3.25,13,26
135.0,PRENATALES (MULTIVI+MINERA) GEL CAPS KURANTIS ,1.0,,,,,,,,,,,,1,15,10.0,,2026-04-01,0.0,,2024-02-01,4.0,1.0,2.0,1.0,8,2.0,8,16
136.0,PRENATALES PLUS 6 BLIS X 5 CAJA X 30 CAP CONAMEP,12.0,,,,,,,,,4.0,,,8,36,11.0,,2027-08-01,3.0,1.0,2025-03-01,10.0,4.0,4.0,4.0,22,5.5,22,44
137.0,PROSTALINE CAJA X 30 BLISTER X 10 CAP,3.0,,,,,,,,,,,,3,-3,20.0,,2026-08-01,0.0,,2024-12-01,,,,,0,0.0,0,0
138.0,PRUDENCE ANILLOS Y PUNTOS CAJA X 3 PERSERVATIVOS,1.0,,,,,,,,,,,,1,5,25.0,,2027-10-01,0.0,,2024-12-01,,,2.0,1.0,3,0.75,3,6
139.0,"PRUDENCE CAJA X 3   MENTA, FRESA,CHOCOLATE,UVA",5.0,,,,,,,,,,,,5,7,24.0,,2027-11-01,0.0,,2024-08-01,1.0,1.0,1.0,3.0,6,1.5,6,12
140.0,PRUDENCE CLASICO SOBRE X 3 PERSERVATIVO,1.0,,,,,,,,,,,,1,1,20.0,,2028-05-01,0.0,,2024-09-01,,,,1.0,1,0.25,1,2
141.0,PRUDENCE RETARDANTE SOBRE X 3 PERSERVATIVOS ,1.0,,,,,,,,,,,,1,1,35.0,,2027-02-01,0.0,,2024-09-01,,1.0,,,1,0.25,1,2
142.0,PRUDENCE SENSITIVE SOBRE X 3 PERSERVATIVOS ,1.0,,,,,,,,,,,,1,-1,27.0,,2026-10-01,0.0,,2024-09-01,,,,,0,0.0,0,0
143.0,RELAX PLUS CAJA X 30 CAPS BLIST X 10 CONAMEP,68.0,,,,10.0,,,,,10.0,2.0,,46,122,1.5,,2027-06-01,4.0,3.0,2025-03-01,30.0,20.0,12.0,22.0,84,21.0,84,168
144.0,SAL INGLESA SOBRE X 25 VESA,34.0,,5.0,,,,,,,3.0,,,26,20,1.0,,2027-11-01,0.0,,2025-03-01,1.0,11.0,3.0,8.0,23,5.75,23,46
145.0,SECNIDAZOL 125 MG SUSP FCO X 30 ML,2.0,,,,,,,,,,,,2,4,23.0,,2025-06-01,0.0,,2023-09-01,,1.0,1.0,1.0,3,0.75,3,6
146.0,SECNIDAZOL 500 MG X 4 TAB ARGUS,5.0,,,,,,,,,,,,5,5,9.0,,2026-06-01,7.0,,2025-02-01,1.0,1.0,2.0,1.0,5,1.25,5,10
147.0,SECNIDAZOL 500 MG X 4 TAB CAPLIN,3.0,,,,,,,,,,,,3,5,9.0,,2026-08-01,0.0,,2024-07-01,1.0,1.0,1.0,1.0,4,1.0,4,8
148.0,SECNIDAZOL SUSP 125 MG 5ML CAPLIN ,3.0,,,,,,,,,,,,3,7,20.0,,2026-07-01,0.0,,2024-06-01,1.0,1.0,2.0,1.0,5,1.25,5,10
149.0,SEGURA PLUS ,2.0,,,,,,,,,,,,2,6,23.0,,2029-02-01,5.0,,2025-02-01,1.0,1.0,1.0,1.0,4,1.0,4,8
150.0,SENOSIDOS  CAJA X 30 BLIST X 10 CONAMEP,73.0,,,,,,,,,,,,73,87,1.0,,2026-08-01,4.0,4.0,2025-03-01,50.0,10.0,10.0,10.0,80,20.0,80,160
151.0,SOSTENGO SILDENAFIL 100MG CAJA X 24 SOB Y CAJITA X 2 TAB,6.0,,1.0,,1.0,,1.0,1.0,2.0,,,,0,32,10.0,,2027-01-01,0.0,,2025-01-01,4.0,2.0,4.0,6.0,16,4.0,16,32
152.0,SPASMOCLOR (CLORDIA+BROM DE CLID) BLISX 20 CJA X 100,107.0,,,,,,,,,,,,107,141,1.6,,2026-01-01,0.0,,2024-07-01,40.0,24.0,20.0,40.0,124,31.0,124,248
153.0,SPORT GEL FORTE 30 GRS,1.0,,,,,,,,,,,,1,7,20.0,,2027-01-01,1.0,,2024-08-01,1.0,1.0,1.0,1.0,4,1.0,4,8
