Nombre,COSTO,EXISTENCIA,COSTO_UNIDAD,CANTIDAD_TOTAL_UNIDADES,FECHA_COMPRA,FECHA_VENCIMIENTO
LORATADINA 10MG X BLIS X 20 CAJA X 100 SELEC,4.19,13.0,0.21,260.0,2025-04-01,2028-08-01
LORATADINA 5 MG JBE SELEC,8.09,4.0,8.09,4.0,2025-04-01,2027-06-01
LUBRICANTE VIVE 120 ML NATURAL,25.35,1.0,25.35,1.0,2025-03-01,2028-02-01
LUBRICANTE VIVE 120 ML S. FRESA,25.35,1.0,25.35,1.0,2024-05-01,2025-11-01
MAGNESIO LIVE VIT C CAJA X 18 SOBRES,8.35,19.0,8.35,19.0,2025-02-01,2027-03-01
METFORMINA 1 GM BLIST X 10 CAJA X 100 CAPLIN,5.995,16.0,0.6,160.0,2025-04-01,2026-04-01
METFORMINA 1G BLIST X10 TAB CAJA X 100 INFASA,6.63,12.0,0.663,120.0,2025-04-01,2027-10-01
METFORMINA 850 MG BLIST X 10 CAJA X 100 CAPLIN,3.33,5.0,0.333,50.0,2024-12-01,2025-11-01
METFORMINA 850 MG BLIST X 10 TAB INFASA,4.18,12.0,4.18,12.0,2025-04-01,2027-08-01
METOCARBAMOL BLIST X 10 CAJA X 100 CAPLIN,3.3,3.0,0.33,30.0,2025-01-01,2027-05-01
METOCARBAMOL BLIST X 10 CAJA X 100 SELECT,4.5,9.0,0.45,90.0,2025-03-01,2027-08-01
NAFASOLINA .025% DE 15 ML,10.51,2.0,10.51,2.0,2024-08-01,2026-03-01
NAPROLIV  (NAPROXENO  550 MG) CAJA X 50 BLIST X 10,10.26,6.0,1.026,60.0,2025-01-01,2028-07-01
NAPROXENO 550 MG BLIST X 10 CAJA X 100 CAPLIN/ARGUS,8.0,7.0,0.8,70.0,2025-03-01,2027-04-01
NASOLIN GOTAS 15 ML  MEDIPROD,18.25,2.0,18.25,2.0,2024-07-01,2027-09-01
NEUROTROPAS GEL CAPS CAJA X 50 BLIST X 10 CONAMEP,0.89,65.0,0.089,650.0,2025-03-01,2027-03-01
NISTATINA 30ML GOTAS SELEC,9.95,2.0,9.95,2.0,2025-03-01,2027-10-01
NISTATINA CREMA SELEC,10.95,1.0,10.95,1.0,2024-12-01,2027-09-01
NISTATINA SUSPENSION  30 ML CAPLIN,8.95,2.0,8.95,2.0,2025-03-01,2027-05-01
NITASEL NITAXOZANIDA 100MG/5ML SUS SELEC,25.95,3.0,25.95,3.0,2025-03-01,2027-03-01
NITASEL NITAZOXANIDA 500MG X6TAB SELECT,17.85,12.0,17.85,12.0,2025-04-01,2026-08-01
OMEPRAZOL 20 MG BLISTER X 10 ARGUS CAJA X 100,2.095,14.0,0.21,140.0,2025-04-01,2027-04-01
PENETRACINA 3 CREMA 15 GR MEDIPROD,29.95,2.0,29.95,2.0,2024-01-01,2025-09-01
PODOFILINA 25% X 5 ML F QUIMICA,30.65,1.0,30.65,1.0,2025-04-01,2027-01-01
PREDNISONA 50MG BLISTER X 10 SELEC CAJA X 100,1.879,32.0,0.188,320.0,2025-04-01,2027-05-01
PRENATALES (MULTIVI+MINERA) GEL CAPS KURANTIS,6.095,1.0,6.095,1.0,2024-02-01,2026-04-01
PRENATALES PLUS 6 BLIS X 5 CAJA X 30 CAP CONAMEP,6.57,16.0,1.314,80.0,2025-04-01,2027-08-01
PROSTALINE CAJA X 30 BLISTER X 10 CAP,11.833,2.0,1.183,20.0,2024-12-01,2026-08-01
PRUDENCE ANILLOS Y PUNTOS CAJA X 3 PERSERVATIVOS,14.9,2.0,14.9,2.0,2025-04-01,2027-10-01
"PRUDENCE CAJA X 3   MENTA, FRESA,CHOCOLATE,UVA",14.15,4.0,14.15,4.0,2024-08-01,2027-11-01
PRUDENCE CLASICO SOBRE X 3 PERSERVATIVO,11.75,1.0,11.75,1.0,2024-09-01,2028-05-01
PRUDENCE RETARDANTE SOBRE X 3 PERSERVATIVOS,20.95,1.0,20.95,1.0,2024-09-01,2027-02-01
PRUDENCE SENSITIVE SOBRE X 3 PERSERVATIVOS,16.1,1.0,16.1,1.0,2024-09-01,2026-10-01
RELAX PLUS CAJA X 30 CAPS BLIST X 10 CONAMEP,0.88,72.0,0.088,720.0,2025-04-01,2027-10-01
SAL INGLESA SOBRE X 25 VESA,0.33,18.0,0.33,18.0,2025-03-01,2027-11-01
SECNIDAZOL 125 MG SUSP FCO X 30 ML,13.4,2.0,13.4,2.0,2023-09-01,2025-04-01
SECNIDAZOL 500 MG X 4 TAB ARGUS,3.54,4.0,3.54,4.0,2025-02-01,2026-06-01
SECNIDAZOL 500 MG X 4 TAB CAPLIN,4.43,3.0,4.43,3.0,2024-07-01,2026-08-01
SECNIDAZOL SUSP 125 MG 5ML CAPLIN,11.0,3.0,11.0,3.0,2024-06-01,2026-07-01
SEGURA PLUS,13.2,4.0,13.2,4.0,2025-02-01,2029-02-01
SENOSIDOS  CAJA X 30 BLIST X 10 CONAMEP,0.57,143.0,0.057,1430.0,2025-03-01,2026-10-01
SOSTENGO SILDENAFIL 100MG CAJA X 24 SOB Y CAJITA X 2 TAB,4.92,12.0,4.92,12.0,2025-04-01,2027-11-01
SPASMOCLOR (CLORDIA+BROM DE CLID) BLISX 20 CJA X 100,0.939,107.0,0.047,2140.0,2024-07-01,2026-01-01
SPORT GEL FORTE 30 GRS,11.25,1.0,11.25,1.0,2024-08-01,2027-01-01
SULFATO DE SODA X 16 SOBRES DISFAVIL,0.28,0.0,0.28,0.0,,
SULFATO FERROSO 350 MG BLIST X 10 SELEC,1.62,10.0,0.162,100.0,2025-03-01,2027-07-01
SUPOSITORIOS ACETAMINF 300MG CAPLIN,1.44,2.0,1.44,2.0,2023-04-01,2025-09-01
TELMISARTAN 80 MG CAJA X 30 BLIST X 10,26.72,6.0,2.672,60.0,2025-03-01,2026-06-01
TETRACICLINA 500 MG BLISTER X 10 CAJA X 100,3.04,7.0,0.304,70.0,2025-04-01,2027-03-01
TRIMETOSE VIJOSA 120ML JARABE,21.95,6.0,21.95,6.0,2025-02-01,2027-07-01
"TRIPLE C FLUID CAJA X 30 SOBRES (ACETIL,PIRIDOXINA, VIT C)",8.298,7.0,8.298,7.0,2024-09-01,2026-09-01
UNAL (ANTICOCEP MENS) INYEC PIERSAN,19.94,2.0,19.94,2.0,2025-02-01,2027-08-01
UNIACT KIT (MEDROXIPROGESTERONA 150M) CA,33.3,2.0,33.3,2.0,2024-07-01,2025-11-01
VIRO GRIP AM SOBRE X 2 GEL CAP CAJA X 24,2.81,51.0,1.405,102.0,2025-04-01,2026-06-01
VIRO GRIP PM SOBRE X 2 GEL CAP CAJA X 24,2.81,57.0,1.405,114.0,2025-03-01,2026-06-01
VIROGRIP NF LIMON POLVO AM X 24 SOBRES,3.047,24.0,3.047,24.0,2024-11-01,2026-02-01
VIROGRIP NF LIMON POLVO PM X 24 SOBRES,3.13,12.0,3.13,12.0,2025-03-01,2026-04-01
VITAMINA K AMPOLLA SELEC,4.3,7.0,4.3,7.0,2025-04-01,2027-07-01
VITAMINAS PARA DIABETICOS CAJA X 30  BLIST X 10 GELCAPS,15.38,4.0,1.538,40.0,2023-04-01,2026-06-01
WARFARINA 5 MG BLIST X 10,1.195,20.0,0.12,200.0,2024-12-01,2026-07-01
ZETAWIN FORTE 1G CAJA X 20 TAB BLIST X 10,3.337,9.0,0.334,90.0,2024-08-01,2026-06-01
ZINC 15 MG GEL BLISTER X 10  CAJA X 50,3.95,6.0,0.395,60.0,2025-01-01,2027-08-01
ZINC 20 MG CAJA X 100  BLIST X 10 TAB CAPLIN,2.5,5.0,0.25,50.0,2024-03-01,2025-06-01
ZINKVANZ (ZINC)10MG/5ML JBE 120ML SEVEN,41.05,1.0,41.05,1.0,2025-01-01,2027-07-01
ZORRITONE JARABE 120 ML,20.95,2.0,20.95,2.0,2025-04-01,2027-02-01
