ID,PRODUCTO,INV,COST,PRESENTACION COSTO,PP,VC,FC,UBICA,FF,QUE ES,P QUE S,DOSIFICA,PA
83,IBUPROFEN 400 MGS BLISTER X 10  CAJA X 100 ARGUS ,14.0,1.73,BLISTER,4.0,2027-07-01,2024-12-01,,,,,,
84,IBUPROFEN 600 MGS BLISTER X 10 CAJA X 100  ARGUS,17.0,1.9,BLISTER,5.0,2025-06-01,2024-12-01,,,,,,
85,IBUPROFEN 800 MGS BLISTER X 10 CAJA X 100 ARGUS,23.0,3.4,BLISTER,7.0,2026-10-01,2024-12-01,,,,,,
86,IBUWIN 400 GEL CAPS BLIST X 10  CAJA X 50,26.0,0.47,BLISTER,1.0,2026-10-01,2024-10-01,,,,,,
87,IBUWIN 600 GEL CAPS BLIST X 10 CAJA X 100 ,55.0,0.78,BLISTER,1.4,2026-04-01,2024-10-01,,,,,,
88,IBUWIN FORTE  GEL CAPS BLIST X 10  CAJA X 100 ,15.0,9.916,BLISTER,20.0,2026-12-01,2024-11-01,,,,,,
89,IRBERSA+HIDRO 300/25 BLIST X 10 CAJ X 30 CAPLIN,2.0,33.85,BLISTER,55.0,2026-05-01,2024-08-01,,,,,,
90,IRBERSARTAN 150 MG BLIST X 10 CAJA X 30CAPLIN,5.0,24.98,BLISTER,39.6,2025-10-01,2024-03-01,,,,,,
91,IRBERSARTAN 300MG BLIST X 10 CAJA X 30 CAPLIN,5.0,25.33,BLISTER,40.0,2026-01-01,2024-02-01,,,,,,
92,JERINGA 10 ML 21 X 1 1/2 CAJA X 100,27.0,0.65,,1.5,2025-05-01,2022-12-01,,,,,,
93,JERINGA 10 ML 22 X 1 1/2 CAJA X 100,33.0,0.6,UNIDAD,1.5,2029-06-01,2025-01-01,,,,,,
94,JERINGA 3 ML 21 X1 1/2 DIFASA CAJA X 100,70.0,0.5,UNIDAD,1.0,2025-05-01,2021-01-01,,,,,,
95,JERINGA 3 ML 22 X1 1/2 SUM SHIN CAJA X 100,36.0,0.36,UNIDAD,1.0,2028-09-01,2025-01-01,,,,,,
96,JERINGA 3 ML 23 X 1 1/4 THERFAM CAJA X 100,120.0,0.34,UNIDAD,1.0,2029-08-01,2024-11-01,,,,,,
97,JERINGA 3ML 23X1 1/12 DIFASA CAJA X 100,89.0,0.4,UNIDAD,1.0,2028-08-01,2024-11-01,,,,,,
98,JERINGA 5 ML 22 X 1 1/2 CAJA X 100,127.0,0.37,UNIDAD,1.0,2026-09-01,2025-01-01,,,,,,
99,KETOCONAZOL CREMA 15 GM ARGUS CAPLIN,2.0,4.95,TUBO,10.0,2026-10-01,2025-01-01,,,,,,
100,KETOROLACO 20 MG BLIST X 10 CAJA X 50,133.0,0.97,BLISTER,2.0,2025-10-01,2024-08-01,,,,,,
101,KLORPROSIN  (CLONIS+PRO)  BLIST X 10 CAJA X 100,96.0,0.84,BLISTER,1.4,2026-11-01,2024-08-01,,,,,,
102,KLORPROSIN KIT INY X UNIDAD,2.0,13.75,KIT,25.0,2027-02-01,2024-08-01,,,,,,
103,KOLICON 15 ML ,2.0,15.95,FRASCO,27.0,2026-07-01,2023-11-01,,,,,,
104,LANSOPRAZOL 30MG BLIS X 10 CAJA X 100 ARGUS ,19.0,3.42,BLISTER,9.0,2025-09-01,2024-08-01,,,,,,
105,LEVOCETIRIZINA 5 MG  CAJA X 10 TAB ,75.0,0.58,BLISTER,1.2,2025-10-01,2024-12-01,,,,,,
106,LEVOGASTRIC CAJA X 30 BLISTER X 5 ,14.0,6.78,BLISTER,13.0,2026-03-01,2024-11-01,,,,,,
107,LORATADINA 10MG  BLISTX 10 TABS CAPLIN CAJA X 100,12.0,1.57,BLISTER,5.0,2025-10-01,2024-12-01,,,,,,
108,LORATADINA 10MG X BLIS X 20 CAJA X 100 SELEC,19.0,4.2,BLISTER,8.0,2028-08-01,2024-12-01,,,,,,
109,LORATADINA 5 MG JBE SELEC ,4.0,8.09,FRASCO,15.0,2027-06-01,2024-12-01,,,,,,
110,LUBRICANTE VIVE 120 ML NATURAL,1.0,25.35,FRASCO,40.0,2026-01-01,2024-08-01,,,,,,
111,LUBRICANTE VIVE 120 ML S. FRESA,1.0,25.35,FRASCO,40.0,2025-11-01,2024-05-01,,,,,,
112,MAGNESIO LIVE VIT C CAJA X 18 SOBRES ,13.0,8.35,SOBRE,15.0,2027-03-01,2024-09-01,,,,,,
113,MESI 3 ( ANTICONCEPTIVO 3 MESES) PIERSAN,1.0,33.5,KIT,53.0,2026-02-01,2024-10-01,,,,,,
114,METFORMINA 1 GM BLIST X 10 CAJA X 100 CAPLIN,11.0,5.995,BLISTER,10.0,2026-04-01,2025-01-01,,,,,,
115,METFORMINA 1G BLIST X10 TAB CAJA X 100 INFASA,13.0,6.63,BIS,10.5,2027-06-01,2024-12-01,,,,,,
116,METFORMINA 850 MG BLIST X 10 CAJA X 100 CAPLIN,6.0,3.33,BLISTER,6.0,2025-11-01,2024-12-01,,,,,,
117,METICOBALAMINA 500MG/ML CAJA X 5 AMP LOKET,0.0,10.99,AMPOLLA,18.0,2025-12-01,2023-11-01,,,,,,
118,METOCARBAMOL BLIST X 10 CAJA X 100 CAPLIN,6.0,3.3,BLISTER,8.0,2025-09-01,2024-10-01,,,,,,
119,METOCARBAMOL BLIST X 10 CAJA X 100 SELECT,11.3,4.5,BLISTER,8.0,2027-04-01,2024-11-01,,,,,,
120,NAFASOLINA .025% DE 15 ML,2.0,10.51,FRASCO,19.0,2026-03-01,2024-08-01,,,,,,
121,NAPROLIV  (NAPROXENO  550 MG) CAJA X 50 BLIST X 10,4.0,10.26,BLISTER,17.0,2028-05-01,2024-10-01,,,,,,
122,NAPROXENO 550 MG BLIST X 10 CAJA X 100 CAPLIN/ARGUS,9.0,8.0,BLISTER,15.0,2027-03-01,2024-12-01,,,,,,
123,NASOLIN GOTAS 15 ML  MEDIPROD,2.0,18.25,FRASCO,32.0,2027-09-01,2024-07-01,,,,,,
124,NEUROTROPAS GEL CAPS CAJA X 50 BLIST X 10 CONAMEP,75.0,0.864,BLISTER,1.5,2026-04-01,2024-08-01,,,,,,
125,NISTATINA 30ML GOTAS SELEC,2.0,9.95,FRASCO,18.0,2027-08-01,2024-11-01,,,,,,
126,NISTATINA CREMA SELEC,1.0,10.95,TUBO,19.0,2027-09-01,2024-12-01,,,,,,
127,NISTATINA SUSPENSION  30 ML CAPLIN ,2.0,8.95,FRASCO,16.0,2027-05-01,2024-11-01,,,,,,
128,NITASEL NITAXOZANIDA 100MG/5ML SUS SELEC ,4.0,25.95,FRASCO,44.0,2027-03-01,2024-10-01,,,,,,
129,NITASEL NITAZOXANIDA 500MG X6TAB SELECT,7.0,17.85,CAJA,32.0,2026-06-01,2025-01-01,,,,,,
130,OMEPRAZOL 20 MG BLISTER X 10 ARGUS CAJA X 100,7.0,2.095,BLISTER,5.0,2026-03-01,2024-10-01,,,,,,
131,PENETRACINA 3 CREMA 15 GR MEDIPROD,2.0,29.95,TUBO,49.0,2025-09-01,2024-01-01,,,,,,
132,PODOFILINA 25% X 5 ML F QUIMICA,1.0,30.65,FRASCO,52.0,2026-01-01,2025-01-01,,,,,,
133,PREDNISONA 50MG BLISTER X 10 SELEC CAJA X 100,52.0,1.879,BLISTER,4.2,2027-04-01,2024-10-01,,,,,,
134,PRENATALES (MULTIVI+MINERA) GEL CAPS KURANTIS ,3.0,6.095,BLISTER,10.0,2026-04-01,2024-02-01,,,,,,
135,PRENATALES C/FLUOR BLIST X 10 CAJA X 50 CONAMEP,0.0,6.55,BLISTER,12.0,2026-02-01,2023-05-01,,,,,,
