No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,  ,1 MES,2 MESES
14,AGUJA 30G X 1/2  AMARILLA (NIPRO),31.0,,,,,,,,,,,,31.0,-11.0,1.0,,,0.0,,2019-11-01,2.0,6.0,1.0,1.0,10.0,2.5,10.0,20.0
15,ALCOHOL  ELITICO LORALVA 70% 960 ML,2.0,,,,,,,,,,,,2.0,4.0,28.0,,2029-09-01 00:00:00,1.0,,2025-01-01,1.0,1.0,,1.0,3.0,0.75,3.0,6.0
16,ALCOHOL ETILICO VESA 70% SPRAY 120 ML,2.0,,,,,,,,,,,,2.0,6.0,15.0,,2027-01-01 00:00:00,1.0,,2025-02-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
17,ALEVE EXTRA FUERTE X 36 TAB,19.0,,,,,,,,,,,,19.0,1.0,2.5,BAYER,2025-05-01 00:00:00,0.0,,2024-07-01,4.0,2.0,2.0,2.0,10.0,2.5,10.0,20.0
18,ALEVE LQUID GELS X 24,30.0,,,,,,,,,,,,30.0,-2.0,3.75,BAYER,2026-01-01 00:00:00,1.0,,2025-03-01,2.0,3.0,1.0,8.0,14.0,3.5,14.0,28.0
19,ALEVE MAX CAJA X 10 TAB,22.0,,,,,,,,,,,,22.0,-6.0,3.5,BAYER,2026-11-01 00:00:00,0.0,,2024-11-01,1.0,3.0,2.0,2.0,8.0,2.0,8.0,16.0
20,ALGODÓN BOLSA X 25,37.0,,,,,,,,,,,,37.0,7.0,0.5,,,1.0,,2025-04-01,2.0,2.0,12.0,6.0,22.0,5.5,22.0,44.0
21,ALKA GASTRIC DISP. X 36 TAB,20.0,,,,,,1.0,,,,,,19.0,11.0,3.5,BAYER,2029-12-01 00:00:00,1.0,,2025-04-01,2.0,1.0,4.0,8.0,15.0,3.75,15.0,30.0
22,ALKA SELTZER DISP X 60,61.0,,4.0,,,,1.0,,,,,,56.0,28.0,1.5,BAYER,2026-05-01 00:00:00,1.0,,2025-02-01,4.0,7.0,23.0,8.0,42.0,10.5,42.0,84.0
23,ANESTENCA TUBO X 5 ML,2.0,,,,,,,,,,,,2.0,6.0,32.0,,2029-04-01 00:00:00,0.0,,2025-04-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
24,ANESTEVIL GOTAS 5 ML (ANESTESICO LOCAL),2.0,,,,1.0,,,,,,,,1.0,9.0,22.0,,2026-12-01 00:00:00,1.0,,2025-04-01,1.0,1.0,1.0,2.0,5.0,1.25,5.0,10.0
25,ANGIOCAT # 16,1.0,,,,,,,,,,,,1.0,7.0,10.0,,2029-09-01 00:00:00,0.0,,2025-04-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
26,ANGIOCAT # 18,5.0,,,,,,,,,,,,5.0,1.0,10.0,,2026-07-01 00:00:00,0.0,,2022-07-01,,1.0,1.0,1.0,3.0,0.75,3.0,6.0
27,ANGIOCAT # 20 ,3.0,,,,,,,,,,,,3.0,19.0,10.0,,2029-06-01 00:00:00,0.0,,2025-04-01,1.0,8.0,1.0,1.0,11.0,2.75,11.0,22.0
28,ANGIOCAT # 22 ,4.0,,,,,,,,,,,,4.0,6.0,10.0,,2029-06-01 00:00:00,3.0,,2025-04-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
29,ANGIOCAT # 24,3.0,,,,,,,,,,,,3.0,19.0,10.0,,2029-07-01 00:00:00,5.0,,2025-04-01,4.0,4.0,1.0,2.0,11.0,2.75,11.0,22.0
30,APOSITOS PARA CAYOS HANSAPLAST  X 6,7.0,,,,,,,,,,,,7.0,9.0,7.0,,2026-10-01 00:00:00,1.0,,2024-12-01,1.0,3.0,3.0,1.0,8.0,2.0,8.0,16.0
31,AQUAMAR FCO 50 ML SPRAY NASAL,1.0,,,,,,,,,,,,1.0,-1.0,110.0,,2027-04-01 00:00:00,0.0,,2025-01-01,,,,,0.0,0.0,0.0,0.0
32,ARCO PULMIN INY ADULTO PIERSAN,1.0,,,,,,,,,,,,1.0,9.0,19.0,,2028-02-01 00:00:00,0.0,,2024-05-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
33,ASPIRADOR NASAL GERBER,1.0,,,,,,,,,,,,1.0,7.0,30.0,,,1.0,,2025-04-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
34,ASPIRINA ADULTO BLIST X 10 CAJA X 100,137.0,,,,,,,,,,,,137.0,-55.0,1.2,BAYER,2026-09-01 00:00:00,0.0,,2025-04-01,10.0,12.0,4.0,15.0,41.0,10.25,41.0,82.0
35,ASPIRINA FORTE CAJA X 100 BLIST X 10 ,147.0,10.0,4.0,,,,,,,,,,133.0,81.0,1.2,BAYER,1900-01-10 06:14:24,1.0,,2025-04-01,44.0,32.0,14.0,17.0,107.0,26.75,107.0,214.0
36,ASPIRINA NIÑOS BLIST X 10 CAJA X 100 ,125.0,,40.0,2.0,,,,,,2.0,,,81.0,319.0,1.0,BAYER,2026-09-01 00:00:00,4.0,,2025-04-01,60.0,55.0,12.0,73.0,200.0,50.0,200.0,400.0
37,BALLENA AZUL 200 ml,2.0,,,,,,,,,,,,2.0,6.0,51.0,,2027-05-01 00:00:00,0.0,,2024-08-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
38,BALSAMICO GMS 12 GRS,4.0,,,,,,,,,,,,4.0,6.0,10.0,,2027-07-01 00:00:00,2.0,,2025-04-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
39,BAYKID DOLOR Y FIEBRE CAJA X 36 BLIST X 12 TAB ,30.0,,,,,,,,,,,,30.0,44.0,1.75,BAYER,2026-07-01 00:00:00,1.0,,2025-04-01,16.0,3.0,12.0,6.0,37.0,9.25,37.0,74.0
40,BEBETINA  BLIST X 10 CAJA X 100 TAB ,92.0,,,,,,,,,,,,92.0,-4.0,0.9,,2026-04-01 00:00:00,0.0,,2024-11-01,2.0,12.0,20.0,10.0,44.0,11.0,44.0,88.0
41,BEPHANTHENE CREMA 5% 30G QUEMADURAS,1.0,,,,,,,,,,,,1.0,7.0,81.0,BAYER,2027-01-01 00:00:00,1.0,,2025-04-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
42,BEPHANTHENE POMADA 5% 30G PROTECTORA,2.0,,,,,,,,,,,,2.0,4.0,78.0,BAYER,2025-10-01 00:00:00,1.0,,2024-09-01,1.0,1.0,1.0,,3.0,0.75,3.0,6.0
43,BICARBONATO  X 25 SOBRES DE 10 GRS VESA,64.0,,,,,,,,,,,,64.0,4.0,0.5,,2028-02-01 00:00:00,3.0,,2025-04-01,10.0,14.0,8.0,2.0,34.0,8.5,34.0,68.0
44,BICARBONATO X 1 LIBRA DISFAVIL,5.0,,,,,,,,,1.0,,,4.0,20.0,15.0,,2026-09-01 00:00:00,14.0,,2025-04-01,1.0,3.0,5.0,3.0,12.0,3.0,12.0,24.0
45,BICARBONATO X 16 SOBRES DE 28 GRS DISFAVIL,8.0,,,,,,,,,,,,8.0,30.0,1.0,,2026-09-01 00:00:00,4.0,,2025-04-01,5.0,4.0,5.0,5.0,19.0,4.75,19.0,38.0
46,BOLSA DE ALGODÓN 160 BOLITAS SUPERIOR,1.0,,,,,,,,,,,,1.0,7.0,16.0,,2028-06-01 00:00:00,2.0,,2023-12-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
47,CALCIO VITAMINADO AMPOLLA,2.0,,,,,,,,,,,,2.0,8.0,20.0,,2026-04-01 00:00:00,0.0,,2024-08-01,4.0,1.0,,,5.0,1.25,5.0,10.0
48,CALLOFIN POMADA 12 GRS,1.0,,,,,,,,,,,,1.0,7.0,7.0,,2026-04-01 00:00:00,0.0,,2024-07-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
