No,ARTICULO,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,PROMEDIO,1 MES,2 MESES
66.0,ESOMEPRAZOL 40 MG BLIST X 10 CAJA X 100 WASHINGTON,11.0,,,,,,,,,,,,11,1,20.0,BENDI,2027-09-01,0.0,,2025-02-01,1.0,2.0,2.0,1.0,6,1.5,6,12
67.0,ESOMEPRAZOL 40 MGS BLIST X CAJA X 30 CAPLIN,9.0,,,,,1.0,,,,,,,8,2,22.0,,2027-02-01,2.0,,2024-12-01,2.0,1.0,1.0,1.0,5,1.25,5,10
68.0,ETORICOXIB 90 MG CAJA X 10 TAB CAPLIN,20.0,,3.0,,,,,,,,,,17,17,8.3,,2026-09-01,3.0,,2024-12-01,10.0,2.0,2.0,3.0,17,4.25,17,34
69.0,EXFLU ADULTO SINUS FCO 120 ML,2.0,,,,1.0,,,,,,,,1,3,32.0,,2026-09-01,0.0,,2025-02-01,,,1.0,1.0,2,0.5,2,4
70.0,EXFLU JARABE FCO X 120 ML MULTISINTOMAS,4.0,,,,,,,,,,,,4,6,20.0,,2027-08-01,2.0,,2025-03-01,1.0,2.0,1.0,1.0,5,1.25,5,10
71.0,FEXADRIL(DEXCLO+BETAM) JBE 120 ML WINZER,1.0,,,,,,,,,,,,1,3,94.0,,2025-11-01,0.0,,2024-10-01,1.0,1.0,,,2,0.5,2,4
72.0,FLUCONAZOL 150 MG CAJA X 2 CAPS CAPLIN,5.0,,,,,,,,,,,,5,5,6.0,,2027-05-01,0.0,,2025-01-01,1.0,2.0,1.0,1.0,5,1.25,5,10
73.0,FOSFOLIP ESENC DR KENDAL CAJA X 30 BLIST X 10,12.0,3.0,,,,,,,,,,,9,21,16.0,,2027-06-01,3.0,,2025-04-01,3.0,3.0,3.0,6.0,15,3.75,15,30
74.0,GABAPENTINA 400 MG BLIST X 10  CAJA X 100 ARGUS,106.0,,3.0,,,,3.0,,,,,,100,34,3.0,,2027-05-01,0.0,,2025-03-01,18.0,19.0,10.0,20.0,67,16.75,67,134
75.0,GASTROPRAL BLIST X 10 CAJA X 100 ,10.0,,,,,,,,,,,,10,4,12.0,,2027-11-01,0.0,,2025-02-01,1.0,2.0,2.0,2.0,7,1.75,7,14
76.0,GENCLOBEN CREMA TUBO 30 GMS,2.0,,,,,,,,,,,,2,6,24.0,,2027-06-01,0.0,,2025-04-01,1.0,1.0,1.0,1.0,4,1.0,4,8
77.0,GERIATRI H3 C/GINS ROJO GEL CAPS BLIST X 10 CAJA X 30 CONA,9.0,,,,,,,,,,,,9,23,12.0,,2027-02-01,1.0,,2024-10-01,6.0,6.0,1.0,3.0,16,4.0,16,32
