No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
118,ORFENGESIC (ORFE/PARAC) BLIST X 10 CAJA X 20,13.0,3.59,6.0,0.40166666666666667,46.67,78.0
119,OTIK GOTAS,6.0,13.5,23.0,0.41304347826086957,81.0,138.0
120,PANADOL MUJER DISP. X 48 TAB (24 SOBRES),0.0,1.83,3.0,0.38999999999999996,0.0,0.0
121,PANADOL NIÑOS DISP X 100 TAB MASTIC,45.0,0.61,1.0,0.39,27.45,45.0
122,PANCLASA PAGUE 30 LLEVE 40 BLISTER X 10,2.0,33.99,50.0,0.3202,67.98,100.0
123,PARCHE LEON,2.0,20.75,33.0,0.3712121212121212,41.5,66.0
124,PASIFLORA COMP CAJA X 30 BLISTER X 10,36.0,1.69,2.7,0.3740740740740741,60.839999999999996,97.2
125,PEZONERA DE VIDRIO EDIGAR,1.0,12.0,20.0,0.4,12.0,20.0
126,PIOJINA SHAMPOO 60 ML SNTE,2.0,7.25,13.0,0.4423076923076923,14.5,26.0
127,POMADA GMS 12 GRS,4.0,8.4,14.0,0.39999999999999997,33.6,56.0
128,POMADA GMS TARRO 50 GRS,1.0,31.25,49.0,0.3622448979591837,31.25,49.0
129,RELAFLEX KIT AMPOLLA VIJOSA,0.0,24.93,45.0,0.446,0.0,0.0
130,REUMETAN CREMA 30 GRS. TUBO ,1.0,22.75,35.0,0.35,22.75,35.0
131,REUMETAN S 25 MG BLIST X 10 CAJA X 100,9.0,4.75,8.0,0.40625,42.75,72.0
132,ROWACHOL BLISTER X 10 CAJA X 50 GEL CPAS,12.0,3.473,6.0,0.4211666666666667,41.676,72.0
133,ROWATINEX PERLAS AMARILLAS BLI X 10,48.0,4.76,7.5,0.36533333333333334,228.48,360.0
134,SCUDO NATURAL CAJA X 3 ,1.0,7.8,14.0,0.4428571428571429,7.8,14.0
135,SCUDO ORO ESTRIADO CAJA X 3,0.0,14.3,24.0,0.4041666666666666,0.0,0.0
136,SCUDO ORO RETARDANTE CAJA X 3,2.0,14.17,24.0,0.40958333333333335,28.34,48.0
137,SINSUEÑO BLIST X 10 ,123.0,0.54,1.0,0.45999999999999996,66.42,123.0
138,SOLUCION SALINA ISOTONICA LITRO,1.0,13.91,22.0,0.36772727272727274,13.91,22.0
139,SOLUCION SALINA PARA NEBULIZAR 250 ML,2.0,9.61,16.0,0.39937500000000004,19.22,32.0
140,SOLUTINA GOTAS OFTALMICAS,0.0,16.29,26.0,0.3734615384615385,0.0,0.0
141,SUDAGRIP CAJA X 12 CAPSULAS,0.0,1.03,2.5,0.588,0.0,0.0
142,SUERO MIXTO 5% FCO 500 ML,1.0,11.04,19.0,0.4189473684210527,11.04,19.0
143,TABCIN AD FM EF DISPEN X 72 SOBRES(CELESTE),41.0,1.26,2.5,0.496,51.660000000000004,102.5
144,TABCIN EXTRA FUERTE X 60 EFERV (ROJO),63.0,1.47,2.5,0.41200000000000003,92.61,157.5
145,TABCIN FLEMA Y CONGESTION CAJA X 30,35.0,3.13,5.0,0.374,109.55,175.0
146,TABCIN GRIPE Y TOS LIQUID GEL X 30,32.0,3.02,5.0,0.396,96.64,160.0
147,TABCIN GRIPE Y TOS X 60 TABS EFERV (MORADO),74.0,1.5,2.5,0.4,111.0,185.0
148,TABCIN LIQUID GEL DIA X 30,42.0,3.27,5.0,0.346,137.34,210.0
149,TABCIN LIQUID GEL NOCHE X 30,30.0,3.39,5.0,0.32199999999999995,101.7,150.0
150,TABCIN NIÑOS DISP X 48 BLIST X 12 MASTIC,21.0,0.9,1.5,0.39999999999999997,18.900000000000002,31.5
151,TABCIN NIÑOS X 60 EFERV,50.0,1.21,2.0,0.395,60.5,100.0
152,TALCO DERMO-G11 300 GRS,2.0,14.25,25.0,0.43,28.5,50.0
153,TALCO SUDORIN 110 GRS,1.0,11.5,18.0,0.3611111111111111,11.5,18.0
154,TENSIL 25 MG CAJA X 40 BLIST X 20,97.0,2.21,4.3,0.48604651162790696,214.37,417.09999999999997
155,TERMOMETRO DE CINTA MEDITEM FRONT,2.0,15.55,25.0,0.37799999999999995,31.1,50.0
156,TIAMINA 100 MG FCO X 10  ML PIERSAN,2.0,8.78,15.0,0.4146666666666667,17.56,30.0
157,TINTURA DE YODO NEGRO 1 ONZ,3.0,11.25,19.0,0.40789473684210525,33.75,57.0
158,TIRA LECHE DE VIDRIO,1.0,25.0,39.0,0.358974358974359,25.0,39.0
159,UNI-PULMIN ANTIGRIPAL CAJA X 25 SOBRES,0.0,2.29,3.5,0.3457142857142857,0.0,0.0
160,VICK INHALADOR,6.0,17.92,27.0,0.33629629629629626,107.52000000000001,162.0
161,VICK TARRO 100 GRS,1.0,41.11,68.0,0.39544117647058824,41.11,68.0
162,VICK TARRO 50 GRS,2.0,23.62,38.0,0.37842105263157894,47.24,76.0
163,VIRO GRIP GRIPE Y TOS JBE 120 ML,5.0,19.86,35.0,0.4325714285714286,99.3,175.0
164,VITAFLENACO GEL TOPICA 20 G,1.0,22.8,38.0,0.39999999999999997,22.8,38.0
165,VITAL FUERTE 10 AMP BEB 10 ML,0.0,3.9,5.8,0.3275862068965517,0.0,0.0
166,"VITANERVO 25,000 KIT AMP PIERSAN ",3.0,9.85,19.0,0.48157894736842105,29.549999999999997,57.0
167,VITAPYRENA DISP X50,17.0,2.086,3.5,0.404,35.461999999999996,59.5
168,VITAPYRENA FORTE DISP X50,28.0,3.73,6.0,0.37833333333333335,104.44,168.0
169,XICONEURAL CAJA X 30 INDUCTOR DEL SUEÑO,20.0,1.18,2.5,0.528,23.599999999999998,50.0
170,XIRMEN 4 MG /2 ML X 1 AMP INYECT ,1.0,28.25,48.0,0.4114583333333333,28.25,48.0
171,ZORRITONE CARAMELO JENGIBRE POWER X 100,14.0,0.36,0.75,0.52,5.04,10.5
