No,ARTICULO   BENDICION,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
194,WINASORB GOTAS 15 ML,1.0,15.0,27.0,0.4444444444444444,15.0,27.0
195,WINASORB JBE 60 ML,1.0,15.0,32.0,0.53125,15.0,32.0
196,YODOCLORINA DISP X 100 CAPS,80.0,0.4,0.9,0.5555555555555556,32.0,72.0
197,ZANAHORIA CON VIT A 40 ML,1.0,12.0,19.0,0.3684210526315789,12.0,19.0
198,ZARZAPARRILLA FCO 240 ML (HIGSA),2.0,10.3,20.0,0.485,20.6,40.0
199,ZORRIFLEM JB 180 ML,3.0,11.3,22.0,0.48636363636363633,33.900000000000006,66.0
200,ZORRITONE CARAMELO BARRA CAJA X 16 CEREZA,17.0,2.19,4.5,0.5133333333333333,37.23,76.5
201,ZORRITONE CARAMELO BARRA CAJA X 16 MIEL LIMON,31.0,2.18,4.5,0.5155555555555555,67.58,139.5
202,ZORRITONE CARAMELO BARRA CAJA X 16 TRADICIONAL,19.0,2.19,4.5,0.5133333333333333,41.61,85.5
203,ZORRITONE CARAMELO X 500,362.0,0.27,0.5,0.45999999999999996,97.74000000000001,181.0
204,,,,,,0.0,0.0
205,,,,,,0.0,0.0
206,,,,,,0.0,0.0
207,,,,,,0.0,0.0
208,,,,,,10566.930999999997,22719.519999999997
209,,,,,,,
210,,,,,,,12152.589
211,,,,,,,
212,,,,,,,0.5348963798530956
213,,,,,,,
214,,,,,,,
215,,,,,,,
216,,,,,,,
217,,,,,,,
218,,,,,,,
219,,,,,,,
220,,,,,,,
221,,,,,,,
222,,,,,,,
223,,,,,,,
224,,,,,,,
225,,,,,,,
226,,,,,,,
227,,,,,,,
228,,,,,,,
229,,,,,,,
230,,,,,,,
231,,,,,,,
232,,,,,,,
233,,,,,,,
234,,,,,,,
