No,ARTICULO TIENDA,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,PROMEDIO,1 MES,2 MESES
70,LIMONCHO 120 GRAMOS CAJA X 10 ,7,,,,,,,,,,,,7,7,3.0,SILOE,2025-12-01,1.0,,2025-03-01,1.0,2.0,3.0,1.0,7,1.75,7,14
71,LUCAS,5,,,,,,,,,,,,5,9,5.0,SILOE,2025-04-01,27.0,,2023-11-01,1.0,2.0,2.0,2.0,7,1.75,7,14
72,MAMON LATEX UNIDAD,15,,,,,,,,,,,,15,5,2.0,ESQUINITA,,129.0,,2024-09-01,1.0,5.0,1.0,3.0,10,2.5,10,20
73,MAMON SILICON UNIDAD,19,,1.0,,,,,,,,,,18,4,2.0,ESQUINITA,,65.0,,2024-09-01,2.0,3.0,4.0,2.0,11,2.75,11,22
74,NUEZ DE NOGAL,3,,,,,,,,,,,,3,9,12.0,PRICES,,7.0,,2023-01-01,1.0,2.0,1.0,2.0,6,1.5,6,12
75,PACHA EVENFLO  Y BABY FARLIN 2 ONZ,1,,,,,,,,,,,,1,7,13.0,ESQUINITA,,4.0,,2020-05-01,1.0,1.0,1.0,1.0,4,1.0,4,8
76,PACHA EVENFLO 8 ONZ,2,,,,,,,,,,,,2,0,17.0,ESQUINITA,,0.0,,2025-01-01,,,,1.0,1,0.25,1,2
77,PACHA FIRTS ESSENTIAL 4 ONZ,2,,,,,,,,,,,,2,2,18.0,ESQUINITA,,4.0,,,,,1.0,1.0,2,0.5,2,4
78,PACHA FIRTS ESSENTIAL 5 ONZ,2,,,,,,,,,,,,2,2,16.0,ESQUINITA,,0.0,,,1.0,,,1.0,2,0.5,2,4
79,PACHA MUM LOVE 3 ONZ,1,,,,,,,,,,,,1,3,13.0,ESQUINITA,,1.0,,2021-07-01,1.0,,,1.0,2,0.5,2,4
80,PASTA DENTAL COLGATE  SENSITIVE 100 GR ORIG,1,,,,,,,,,,,,1,7,53.0,WILLY,2026-09-01,1.0,,2024-09-01,1.0,1.0,1.0,1.0,4,1.0,4,8
81,PASTA DENTAL COLGATE  SENSITIVE 100 GR PRO,1,,,,,,,,,,,,1,1,53.0,WILLY,,2.0,,2022-08-01,,,,1.0,1,0.25,1,2
82,PASTA DENTAL SENSODYNE 113 GR,1,,,,,,,,,,,,1,7,60.0,WILLY,2025-07-01,2.0,,2024-09-01,1.0,1.0,1.0,1.0,4,1.0,4,8
83,PEINE FINO,10,,,,,,,,,,,,10,2,1.0,ESQUINITA,,0.0,,2024-09-01,1.0,3.0,1.0,1.0,6,1.5,6,12
84,PICAFRESAS BOLSA X 100,61,,2.0,,3.0,,,,,,,,56,30,1.0,SILOE,,0.0,,2025-01-01,6.0,7.0,11.0,19.0,43,10.75,43,86
85,PROTECTOR DE LABIOS CAJA X 13 PRICESMART,3,,1.0,,,,,,,,,,2,12,13.0,PRICES,2027-05-01,0.0,,2024-12-01,,4.0,1.0,2.0,7,1.75,7,14
